Ref,Val,Package,PosX,PosY,Rot,Side
"C5","100nF","C_0603_1608Metric",146.304000,-101.854000,0.000000,top
"MC1","Teensy4.1","teensy 4.1",146.529481,-117.099185,90.000000,top
"R5","1200","R_0805_2012Metric",149.250400,-95.859600,-90.000000,top
"R6","1200","R_0805_2012Metric",143.154400,-95.808800,90.000000,top
"S1","TLE493DA2","SOT-23-6",146.201140,-99.250000,0.000000,top
"S2","TLE493DA1","SOT-23-6",127.508000,-117.856000,0.000000,top
"S3","TLE493DA0","SOT-23-6",164.713500,-117.922000,0.000000,top
