+5V:2
12V:1
1_1:1
1_2:1
2_1:1
2_2:1
3V3:1
3_1:1
3_2:1
4_1:1
4_2:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
GND:1
J1:1
J2:1
J3:1
M1:1
M2:1
M3:1
M4:1
PMAG:6
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
REF**:1
REF2:1
REF3:1
REF4:1
S1:1
S2:1
S3:1
Sol_1:1
Sol_2:1
Sol_3:1
Sol_4:1
U1:1
U2:1
